model;metric;mean;std;median
model 1;t create;0,019126108000000003;0,012894298462543339;0,013869
model 1;t optim;13,023301487000001;17,61567577509764;3,3401729
model 1;rmse train;1,3956413209135488e6;7,3654206362113785e6;31,987358380231704
model 1;rmse test;1,860484112900937e6;1,112588469762843e7;775,759431392069
model 1;mase test;1,1950864125847422;2,3000256392803395;0,27886496263974103
model 2;t create;0,005733680000000001;0,004821080385979973;0,0048909999999999995
model 2;t optim;3,4993549180000003;12,970775708581353;0,46174455000000003
model 2;rmse train;1,137513016620315e6;1,063710150570363e7;19,44383967778378
model 2;rmse test;2,0511001751000124e6;1,7432187580775533e7;1117,1116368863468
model 2;mase test;1,4741778760964168;4,092868672530054;0,30857957524149193
model 3;t create;0,005435776999999999;0,0030652395278677703;0,00507725
model 3;t optim;8,84116094;30,39674525020637;0,5324408
model 3;rmse train;77594,42933786417;339399,69673344534;19,251133641707725
model 3;rmse test;2,0615901167371592e6;1,6778471778635558e7;1611,5944448021778
model 3;mase test;4,975952321270998;19,22936808906624;0,3145265718716847
